requirement_id,screen_id,screen_name,flow,route,user_role,screen_state,priority,stitch_folder,reference_png,reference_html,pdf_page,source_document,existing_component,target_component,implementation_file,visual_test,e2e_test,accessibility_test,status,notes
SCR-011,living-cost-form,생활비 폼,plan,/plan daily living state,user,modal-form,P1,,,"",6,Feature docs,PlanBreakdownSection,PlanBreakdownSection,apps/mobile/src/features/plan/components/PlanBreakdownSection.tsx,,apps/mobile/src/features/plan/__tests__/plan.api.test.ts,apps/mobile/src/features/plan/__tests__/plan.components.test.tsx,PARTIAL,Daily/monthly calculation policy must stay server authoritative.
SCR-012,level-main,LV UP,level,/(tabs)/level,user,data,P1,lv_up_3,docs/design/stitch/2026-07-16/screens/level-main.png,docs/design/stitch/2026-07-16/html/level-main.html,7,Stitch/PDF,Level screen,LevelHeroCard/LevelActionGrid,apps/mobile/src/features/level/components/LevelHeroCard.tsx,release/evidence/mobile-ui/09_level_hub.png,apps/mobile/src/features/level/__tests__/level.screen-wiring.test.ts,apps/mobile/src/features/level/__tests__/level.components.test.tsx,PASS,XP remains server authority.
SCR-013,reading,독서 레벨업,level,/level/reading,user,data,P1,stitch_salary_hijacking_design_system/_6,docs/design/stitch/2026-07-16/screens/reading.png,docs/design/stitch/2026-07-16/html/reading.html,8,Stitch/PDF,Reading route,ReadingContentCard/RecordInputCard,apps/mobile/src/features/level/components/ReadingContentCard.tsx,release/evidence/mobile-ui/10_level_reading.png,apps/mobile/src/features/level/__tests__/level-detail.screen-wiring.test.ts,apps/mobile/src/features/level/__tests__/level.components.test.tsx,PASS,Record-required policy retained.
SCR-014,news,뉴스 레벨업,level,/level/news,user,data,P1,stitch_salary_hijacking_design_system/_6,docs/design/stitch/2026-07-16/screens/news.png,docs/design/stitch/2026-07-16/html/news.html,9,Stitch/PDF,News route,NewsBalanceCard/RecordInputCard,apps/mobile/src/features/level/components/NewsBalanceCard.tsx,release/evidence/mobile-ui/11_level_news.png,apps/mobile/src/features/level/__tests__/level-detail.screen-wiring.test.ts,apps/mobile/src/features/level/__tests__/level.components.test.tsx,PASS,News source/licensing review remains part of content QA.
SCR-015,english,영어 레벨업,level,/level/english,user,data,P1,lv_up_4,docs/design/stitch/2026-07-16/screens/english.png,docs/design/stitch/2026-07-16/html/english.html,10,Stitch/PDF,English route,EnglishLessonCard/RecordInputCard,apps/mobile/src/features/level/components/EnglishLessonCard.tsx,release/evidence/mobile-ui/12_level_english.png,apps/mobile/src/features/level/__tests__/level-detail.screen-wiring.test.ts,apps/mobile/src/features/level/__tests__/level.components.test.tsx,PASS,Lesson interaction remains record-gated.
SCR-016,health,건강 레벨업,level,/level/health,user,data,P1,lv_up_5,docs/design/stitch/2026-07-16/screens/health.png,docs/design/stitch/2026-07-16/html/health.html,11,Stitch/PDF,Health route,WorkoutTimerCard/RecordInputCard,apps/mobile/src/features/level/components/WorkoutTimerCard.tsx,release/evidence/mobile-ui/13_level_health.png,apps/mobile/src/features/level/__tests__/level-detail.screen-wiring.test.ts,apps/mobile/src/features/level/__tests__/level.components.test.tsx,PASS,Health safety copy must not imply medical outcome.
SCR-017,community,커뮤니티,community,/(tabs)/community,user,list,P1,stitch community set,docs/design/stitch/2026-07-16/screens/community-all.png,docs/design/stitch/2026-07-16/html/community-all.html,12-15,Stitch/PDF,Community feed,CommunityTabBar/CommunityPostCard,apps/mobile/src/features/community/components/CommunityPostCard.tsx,release/evidence/mobile-ui/14_community.png,apps/mobile/src/features/community/__tests__/community.screen-wiring.test.ts,apps/mobile/src/features/community/__tests__/community.components.test.tsx,PASS,Four board states are canonical references.
SCR-018,post-detail,게시글 상세,community,/community/[postId],user,detail,P1,,,"",,Feature docs,Community detail route,CommunityPostCard/Comment components,apps/mobile/app/community/[postId].tsx,,apps/mobile/src/features/community/__tests__/community-detail-routes.screen-wiring.test.ts,apps/mobile/src/features/community/__tests__/community.feature-components.test.tsx,PARTIAL,Needs visual evidence for detail/deleted/blocked states.
SCR-019,community-write,글쓰기,community,/community/write,user,form,P1,stitch_salary_hijacking_design_system/_12,docs/design/stitch/2026-07-16/screens/community-write.png,docs/design/stitch/2026-07-16/html/community-write.html,16,Stitch/PDF,CommunityWriteForm,CommunityWriteForm/ComposeBottomSheet,apps/mobile/src/features/community/components/CommunityWriteForm.tsx,release/evidence/mobile-ui/15_community_write.png,apps/mobile/src/features/community/__tests__/community.write-hook.test.tsx,apps/mobile/src/features/community/__tests__/community.feature-components.test.tsx,PASS,Draft/persistence and moderation policy tests exist.
SCR-020,comment-reaction,댓글·반응,community,/community/[postId] comments,user,interaction,P1,,,"",,Feature docs,Community actions,CommunityCommentItem/useCommunityActions,apps/mobile/src/features/community/hooks/useCommunityActions.ts,,apps/mobile/src/features/community/__tests__/community.integration.test.ts,apps/mobile/src/features/community/__tests__/community.components.test.tsx,PARTIAL,Needs explicit visual and E2E evidence.
SCR-021,profile,마이페이지,profile,/(tabs)/profile,user,data,P1,stitch_salary_hijacking_design_system/_3,docs/design/stitch/2026-07-16/screens/profile.png,docs/design/stitch/2026-07-16/html/profile.html,17,Stitch/PDF,ProfileScreen,ProfileHeader/ProfileStatGrid/ProfileMenuCard,apps/mobile/src/features/profile/components/ProfileScreen.tsx,release/evidence/mobile-ui/16_profile.png,apps/mobile/src/features/profile/__tests__/profile.screen-wiring.test.ts,apps/mobile/src/features/profile/__tests__/profile.components.test.tsx,PASS,Masked personal data policy retained.
SCR-022,profile-settings,프로필 설정,profile,/profile/settings,user,form,P2,,,"",,Feature docs,ProfileDetailScreen,ProfileDetailScreen,apps/mobile/src/features/profile/components/ProfileDetailScreen.tsx,,apps/mobile/src/features/profile/__tests__/profile-detail-routes.screen-wiring.test.ts,apps/mobile/src/features/profile/__tests__/profile.components.test.tsx,PARTIAL,Needs visual capture.
SCR-023,account-settings,계정 설정,profile,/profile/account,user,settings,P2,,,"",,Feature docs,Profile detail route,ProfileDetailScreen,apps/mobile/app/profile/account.tsx,,apps/mobile/src/features/profile/__tests__/profile-detail-routes.screen-wiring.test.ts,apps/mobile/src/features/profile/__tests__/profile.components.test.tsx,PARTIAL,Needs account/deletion state evidence.
SCR-024,my-posts,내 게시글 관리,profile,/profile/community,user,list,P2,,,"",,Feature docs,Profile detail route,ProfileDetailScreen,apps/mobile/app/profile/community.tsx,,apps/mobile/src/features/profile/__tests__/profile-detail-routes.screen-wiring.test.ts,apps/mobile/src/features/profile/__tests__/profile.components.test.tsx,PARTIAL,Needs visual capture and empty state.
SCR-025,my-level,내 레벨업 관리,profile,/profile/level,user,list,P2,,,"",,Feature docs,Profile detail route,ProfileDetailScreen,apps/mobile/app/profile/level.tsx,release/evidence/mobile-ui/17_profile_level.png,apps/mobile/src/features/profile/__tests__/profile-detail-routes.screen-wiring.test.ts,apps/mobile/src/features/profile/__tests__/profile.components.test.tsx,PARTIAL,Profile-level visual exists; management states need expansion.
SCR-026,support,1:1 문의,profile,/profile/support,user,support,P2,,,"",,Feature docs,Profile support route,ProfileDetailScreen,apps/mobile/app/profile/support.tsx,,apps/mobile/src/features/profile/__tests__/profile-detail-routes.screen-wiring.test.ts,apps/mobile/src/features/profile/__tests__/profile.components.test.tsx,PARTIAL,Needs write/answer visual states.
SCR-027,notices,공지사항,profile,/profile/notices,user,list,P2,,,"",,Feature docs,Profile notices route,ProfileDetailScreen,apps/mobile/app/profile/notices.tsx,,apps/mobile/src/features/profile/__tests__/profile-detail-routes.screen-wiring.test.ts,apps/mobile/src/features/profile/__tests__/profile.components.test.tsx,PARTIAL,Needs list/detail visual states.
SCR-028,terms,약관·동의,auth/profile,/terms or auth agreements,user,legal,P1,,,"",,Feature docs,SignupAgreementCard,SignupAgreementCard,apps/mobile/src/features/auth/components/SignupAgreementCard.tsx,,apps/mobile/src/features/auth/__tests__/signup.components.test.tsx,apps/mobile/src/features/auth/__tests__/signup.components.test.tsx,PARTIAL,Legal screens need route catalog confirmation.
SCR-029,notification-settings,알림 설정,notifications/profile,/notifications settings,user,settings,P2,,,"",,Feature docs,NotificationPreferenceStrip,NotificationPreferenceStrip,apps/mobile/src/features/notifications/components/NotificationPreferenceStrip.tsx,,apps/mobile/src/features/notifications/__tests__/notifications.components.test.tsx,apps/mobile/src/features/notifications/__tests__/notifications.components.test.tsx,PARTIAL,Needs dedicated visual state.
SCR-030,common-states,공통 오류·빈 상태,shared,various,user,empty-error-loading,P0,,,"",,Shared UI,EmptyState/ErrorState/LoadingSkeleton,EmptyState/ErrorState/LoadingSkeleton,apps/mobile/src/shared/components/index.ts,,apps/mobile/src/shared/components/__tests__/shared-components.contract.test.tsx,apps/mobile/src/shared/components/__tests__/shared-components.contract.test.tsx,PARTIAL,Common components exist; all 8 common states are not yet exhaustively visually captured.
