METHOD,PATH,DOMAIN,REQ_ID,AUTH_REQUIRED,ROLE_PERMISSION,OWNERSHIP_RULE,REQUEST_SCHEMA,RESPONSE_SCHEMA,SUCCESS_STATUS,ERROR_CODES,IDEMPOTENCY_REQUIRED,CONCURRENCY_POLICY,RATE_LIMIT,PAGINATION,DB_TABLES,AUDIT_EVENT,CURRENT_IMPLEMENTATION_PATH,CONSUMERS,STATUS
POST,/admin/api/v1/community/posts/{postId}/restore,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,201_OR_200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
DELETE,/admin/api/v1/community/posts/{postId},ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
GET,/admin/api/v1/reports,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,NO,READ_CONSISTENCY,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,CURSOR_DEFAULT_20_MAX_100,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
POST,/admin/api/v1/reports/{reportId}/resolve,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,201_OR_200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
GET,/admin/api/v1/notices,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,NO,READ_CONSISTENCY,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,CURSOR_DEFAULT_20_MAX_100,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
POST,/admin/api/v1/notices,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,201_OR_200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
PATCH,/admin/api/v1/notices/{noticeId},ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
POST,/admin/api/v1/notices/{noticeId}/publish,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,201_OR_200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
POST,/admin/api/v1/notices/{noticeId}/unpublish,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,201_OR_200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
DELETE,/admin/api/v1/notices/{noticeId},ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
GET,/admin/api/v1/ads/campaigns,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,NO,READ_CONSISTENCY,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,CURSOR_DEFAULT_20_MAX_100,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
POST,/admin/api/v1/ads/campaigns,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,201_OR_200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
PATCH,/admin/api/v1/ads/campaigns/{campaignId},ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
POST,/admin/api/v1/ads/campaigns/{campaignId}/activate,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,201_OR_200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
POST,/admin/api/v1/ads/campaigns/{campaignId}/pause,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,201_OR_200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
GET,/admin/api/v1/ads/reports,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,NO,READ_CONSISTENCY,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,CURSOR_DEFAULT_20_MAX_100,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
GET,/admin/api/v1/growth/tasks,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,NO,READ_CONSISTENCY,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,CURSOR_DEFAULT_20_MAX_100,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
POST,/admin/api/v1/growth/tasks,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,201_OR_200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
PATCH,/admin/api/v1/growth/tasks/{taskId},ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
GET,/admin/api/v1/growth/contents,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,NO,READ_CONSISTENCY,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,CURSOR_DEFAULT_20_MAX_100,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
POST,/admin/api/v1/growth/contents,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,201_OR_200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
PATCH,/admin/api/v1/growth/contents/{contentId},ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
POST,/admin/api/v1/growth/contents/{contentId}/review,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,201_OR_200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
POST,/admin/api/v1/growth/contents/{contentId}/publish,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,201_OR_200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
POST,/admin/api/v1/growth/contents/{contentId}/archive,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,201_OR_200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
GET,/admin/api/v1/audit-logs,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,NO,READ_CONSISTENCY,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,CURSOR_DEFAULT_20_MAX_100,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
GET,/admin/api/v1/admin-role-members,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,NO,READ_CONSISTENCY,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,CURSOR_DEFAULT_20_MAX_100,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
PATCH,/admin/api/v1/admin-role-members/{adminId},ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
POST,/api/v1/auth/register,AUTH,AUTH-PHASE1,YES,PUBLIC_OR_SYSTEM,PUBLIC_OR_SYSTEM_POLICY,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,201_OR_200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/auth.routes.ts,apps/mobile,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
POST,/api/v1/auth/login,AUTH,AUTH-PHASE1,YES,PUBLIC_OR_SYSTEM,PUBLIC_OR_SYSTEM_POLICY,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,201_OR_200,ERROR_TAXONOMY_FINAL,NO,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/auth.routes.ts,apps/mobile,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
