TABLE_NAME,TABLE_PURPOSE,DOMAIN,OWNER_ROLE,USER_OWNED,PK,FK_SUMMARY,UNIQUE_CONSTRAINTS,CHECK_CONSTRAINTS,INDEXES,MONEY_COLUMNS,STATUS_COLUMNS,RLS_ENABLED,FORCE_RLS,POLICY_COUNT,DATA_CLASSIFICATION,RETENTION_RULE,MIGRATION_INTRODUCED_BY,CURRENT_SCHEMA_HASH,RELATED_REQ_IDS,NOTES
notifications,User notifications,NOTIFICATION,neondb_owner,YES,notification_id,fk=1,unique=0,check=10,indexes=5,,status,YES,YES,3,USER_CONTENT,read/expired cleanup pending,0003_growth_community_notifications.sql,053CC80618DD1B210E09C60EE646010D1D1285B24698C8234747A8B5EC800FD3,NOTI,
operational_incidents,Operational incident records,OPS,neondb_owner,NO,incident_id,fk=3,unique=0,check=12,indexes=4,,status,YES,NO,1,AUDIT,ops audit retention pending,0004_admin_audit_ads.sql,728B5B4DCFC2E785D1BEE6CCCC50631B5BABD00F377C1E14F58DBED084BE5DFA,OPS,
partner_accounts,Partner/affiliate account registry,PARTNERSHIP,neondb_owner,NO,partner_account_id,fk=3,unique=contract_reference partial,check=10,indexes=4,,status,YES,NO,1,COMMERCIAL_ANALYTICS,contract/legal retention pending,0004_admin_audit_ads.sql,12E586F66AC92A208174817554A61212E6EFD5FDF1BECA2A627A021B5414602B,ADS,
payroll_calculation_snapshots,Server calculation snapshots,PAYROLL,neondb_owner,YES,snapshot_id,fk=2,unique=0,check=4,indexes=4,salary_amount;fixed_expense_total;savings_total;variable_expense_total;daily_budget_total;expected_expense_amount;expected_hijack_amount;confirmed_hijack_amount,calculation_version,YES,YES,1,SENSITIVE_FINANCIAL,financial audit retention pending,0002_payroll_budget_expense.sql,40027CE562CA65F018D29F436D9A1C6F2E4AB020EFE516C42A6B9CB7186359F5,PAY;FIN,
payroll_plans,Payroll plan/cycle root,PAYROLL,neondb_owner,YES,payroll_plan_id,fk=1,unique=active user/month,check=6,indexes=5,expected_salary_amount;expected_expense_amount;target_hijack_amount;expected_hijack_amount;confirmed_hijack_amount,status,YES,YES,1,SENSITIVE_FINANCIAL,financial retention policy pending,0002_payroll_budget_expense.sql,0CF633F8CF794FFEE5DAE4F3379FB2CD25CF46E8EF2B6BC8C9F81DA0A6CAD4E6,PAY;FIN,
savings_plans,Reserved saving plan schedule,SAVINGS,neondb_owner,YES,savings_plan_id,fk=2,unique=0,check=8,indexes=4,amount,status,YES,YES,1,SENSITIVE_FINANCIAL,financial retention policy pending,0002_payroll_budget_expense.sql,910676A815C58EF7BF072D120AA0C2DFA48064BCD7A0B7DC5016BD925E9ECCA4,SAV;FIN,
user_consents,Terms/privacy consent records,AUTH,neondb_owner,YES,consent_id,fk=1,unique=0,check=6,indexes=3,,consent_type,YES,YES,1,PII,legal retention required,0008_user_preferences_consents.sql,7737FEAEF2C56D5BE4740F9DBD518C60519309DA12546F7E37A32B06A962D20E,AUTH;SEC,
user_devices,Device and push-capable endpoint metadata,AUTH,neondb_owner,YES,device_id,fk=1,unique=active device fingerprint,check=7,indexes=4,,status,YES,YES,1,PII,cleanup inactive devices,0001_init_users.sql,2A6E978EBF5D7BA51B61AC1229A5E33B800AE19968C12F61CF15BB17C2ABA26A,AUTH;NOTI,
user_growth_stats,Per-user growth aggregate stats,LV_UP,neondb_owner,YES,growth_stat_id,fk=1,unique=user_id,check=1,indexes=3,total_exp,level,YES,YES,2,USER_CONTENT,retain while account active,0003_growth_community_notifications.sql,051CEC14544ADA6AC43F87AB359781FB456D1366262B23E6B3A8D0467DA78DB4,LV,
user_level_content_progress,Per-user LV UP content progress,LV_UP,neondb_owner,YES,progress_id,fk=2,unique=user/content/date and user/idempotency,check=3,indexes=4,earned_exp,status,YES,YES,3,USER_CONTENT,retain for XP audit pending,0012_growth_content_items.sql,9977F2673CBA1EC294800EEC268953BDD35F2F327FF0F7E562DF6122F422D52D,LV,
user_mfa_factors,MFA factor records,AUTH,neondb_owner,YES,mfa_factor_id,fk=1,unique=0,check=3,indexes=2,,status,YES,YES,2,CREDENTIAL_SECRET,revoke/delete on withdrawal,0005_auth_runtime.sql,D21912B2A1596B2E990789C568BF785C98E636081BD85948C41F60425B902496,AUTH;ADMIN;SEC,
user_privacy_exports,Privacy export requests,PROFILE,neondb_owner,YES,export_id,fk=1,unique=0,check=6,indexes=3,,status,YES,YES,3,PII,short export artifact retention,0007_user_privacy_actions.sql,1360E97FD2153646AD206151910772F53E13A1E9AC144157B709F337BCE94FEF,PROF;SEC,
user_profiles,User public/profile attributes,PROFILE,neondb_owner,YES,profile_id,fk=1,unique=user_id,check=7,indexes=3,,,YES,YES,1,PII,delete/anonymize on withdrawal,0009_user_profile_fields.sql,248477AF6B2849D92FC5A5E5098151F445CC1DA1EB143DFEA81D97585629A15B,PROF,
user_settings,User settings/preferences,PROFILE,neondb_owner,YES,setting_id,fk=1,unique=user_id,check=5,indexes=2,,,YES,YES,1,PII,delete/anonymize on withdrawal,0008_user_preferences_consents.sql,06B1F931E16D8B01DCA0A238FE51C5D8AA46BD4B59D692D11D4B917526074B1C,PROF;NOTI,
user_support_tickets,Support/privacy request tickets,PROFILE,neondb_owner,YES,ticket_id,fk=2,unique=0,check=6,indexes=3,,status,YES,YES,3,PII,support retention/legal hold pending,0006_user_support_tickets.sql,C8B4CDB7EFA1A5C1755C54BE172F75CAFD65A523A0E9B664C881623D22EE0C05,PROF;SEC,
user_withdrawal_requests,Account withdrawal requests,AUTH,neondb_owner,YES,request_id,fk=1,unique=0,check=3,indexes=3,,status,YES,YES,3,PII,legal deletion/anonymization workflow,0007_user_privacy_actions.sql,5DD90AF27282C00E4A44A8DB178A6CC11E23D3E4A7BFEEF8CA5726658AA714CE,AUTH;SEC,
users,Core user account,AUTH,neondb_owner,YES,user_id,fk=0,unique=active lower(email),check=5,indexes=5,,status,YES,YES,2,PII,delete/anonymize on withdrawal,0001_init_users.sql,714F2F8213A5D6C71D2013916733A973D326AEF7B4C06BCF587F1F00F9BD2CC7,AUTH;SEC,
variable_expenses,Actual variable expense ledger,EXPENSE,neondb_owner,YES,variable_expense_id,fk=2,unique=user/idempotency,check=8,indexes=6,amount,status,YES,YES,1,SENSITIVE_FINANCIAL,financial retention policy pending,0002_payroll_budget_expense.sql,38E1D84D347836E22E94B01FBCF785B46800C19B1DCDE51D23710D62BCF52E4E,EXP;FIN,
