ROUTE,SCREEN,REQ_IDS,COMPONENT,API_CLIENT,ENDPOINT,SERVER_AUTHORITY,MOCK,FALLBACK,LOADING,EMPTY,ERROR,OFFLINE,PERMISSION,VALIDATION,SESSION_REQUIRED,DEEPLINK,A11Y,RUNTIME_STATUS,GAP
/notifications,notifications list,NOTI-001; NOTI-002; NOTI-009,apps/mobile/app/notifications/index.tsx,canonical mobile API client,notifications cursor list,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,YES,YES,YES,YES,YES_OR_NOT_APPLICABLE,N/A,YES,YES,INHERITED_COMPONENT_A11Y,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/notifications/settings,notification settings,NOTI-003,apps/mobile/app/notifications/settings.tsx,canonical mobile API client,notification preferences/device permission,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,YES,N/A,INHERITED_COMPONENT_A11Y,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/level,LV UP,LV-001; LV-002; LV-003,apps/mobile/app/(tabs)/level/index.tsx,canonical mobile API client,growth dashboard,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,YES,YES,YES,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,YES_OR_NOT_APPLICABLE,YES,YES,YES,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/level/reading,reading mission,LV-004; LV-010,apps/mobile/app/level/reading.tsx,canonical mobile API client,growth content/complete,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,YES,YES,YES,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,YES,YES,YES,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/level/news,news mission,LV-005; LV-010,apps/mobile/app/level/news.tsx,canonical mobile API client,growth content/complete,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,YES,YES,YES,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,YES,YES,YES,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/level/english,english mission,LV-006; LV-010,apps/mobile/app/level/english.tsx,canonical mobile API client,growth content/complete,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,YES,YES,YES,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,YES,YES,YES,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/level/health,health mission,LV-007; LV-010,apps/mobile/app/level/health.tsx,canonical mobile API client,growth content/complete,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,YES,YES,YES,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,YES,YES,YES,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/community,community list,COM-001; COM-002; COM-010,apps/mobile/app/(tabs)/community/index.tsx,canonical mobile API client,community cursor feed,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,YES,YES,YES,READ_ONLY_ERROR_STATE,N/A,YES_OR_NOT_APPLICABLE,YES,YES,YES,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/community/[postId],community detail,COM-003; COM-004; COM-005,apps/mobile/app/community/[postId].tsx,canonical mobile API client,community post/comments,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,YES,YES,YES,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/community/write,community write,WRITE-001; WRITE-002; WRITE-003; WRITE-004; WRITE-005; WRITE-006,apps/mobile/app/community/write.tsx,canonical mobile API client,community write/upload,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,YES,YES,YES,YES,YES_OR_NOT_APPLICABLE,YES_OR_NOT_APPLICABLE,YES,YES,YES,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/profile,profile,PROF-001; PROF-002; PROF-003; PROF-004; PROF-005; PROF-006; PROF-007; PROF-008; PROF-009; PROF-010,apps/mobile/app/(tabs)/profile/index.tsx,canonical mobile API client,profile summary,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,YES_OR_NOT_APPLICABLE,YES,N/A,INHERITED_COMPONENT_A11Y,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/profile/account,account settings,AUTH-008; AUTH-009; AUTH-010; AUTH-011,apps/mobile/app/profile/account.tsx,canonical mobile API client,privacy/support/withdrawal,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,YES,N/A,INHERITED_COMPONENT_A11Y,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/profile/settings,profile settings,PROF-004; PROF-005,apps/mobile/app/profile/settings.tsx,canonical mobile API client,profile update/settings,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,YES_OR_NOT_APPLICABLE,YES,N/A,INHERITED_COMPONENT_A11Y,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/profile/support,support,AUTH-010; PROF-008,apps/mobile/app/profile/support.tsx,canonical mobile API client,support ticket,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,YES,N/A,INHERITED_COMPONENT_A11Y,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/profile/notices,notices,NOTI-010; PROF-009,apps/mobile/app/profile/notices.tsx,canonical mobile API client,notices,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,YES,N/A,INHERITED_COMPONENT_A11Y,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/profile/level,my level,LV-008; LV-009; PROF-002,apps/mobile/app/profile/level.tsx,canonical mobile API client,growth history,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,YES,N/A,INHERITED_COMPONENT_A11Y,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/profile/community,my community,COM-011; PROF-003,apps/mobile/app/profile/community.tsx,canonical mobile API client,own content,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,YES,N/A,INHERITED_COMPONENT_A11Y,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
